职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
Python开发工程师,广州市鼎源信息技术有限公司,少于50人,本科,广东省,广州,越秀区,8千-1万,10000,8000,2年
python开发工程师,上海帮伯信息科技有限公司,少于50人,本科,上海,上海,闵行区,1-1.8万·13薪,18000,10000,2-7年
初级Python开发/数据工程师,海搜科技（深圳）有限公司武汉分公司,150-500人,本科,北京,北京,海淀区,1.5-3万·15薪,30000,15000,无需经验
Python爬虫工程师,上海云赛智联信息科技有限公司,150-500人,大专,上海,上海,徐汇区,1.5-1.7万,17000,15000,2年及以上
python开发工程师,上海精云信息科技有限公司,少于50人,硕士,上海,上海,普陀区,300元/天,,,2-5年
Python软件工程师,深圳凌测科技有限公司,少于50人,本科,湖南省,长沙,开福区,1-1.2万,12000,10000,1年及以上
高级Python开发工程师,中才邦业（杭州）智能技术有限公司,150-500人,本科,浙江省,杭州,滨江区,1.5-1.8万·14薪,18000,15000,3年及以上
Python后台开发工程师,深圳市智影医疗科技有限公司,少于50人,本科,深圳,深圳,,1.5-2.3万·13薪,23000,15000,3-4年
python开发工程师,海尔集团金融控股有限公司,500-1000人,本科,山东省,青岛,,,13000,10000,3-4年
软件开发工程师,南京鸿越财务顾问有限公司,少于50人,本科,湖北省,武汉,,1-1.5万,15000,10000,1年
初级Python开发/数据工程师,海搜科技（深圳）有限公司武汉分公司,150-500人,本科,北京,北京,海淀区,1.5-3万·15薪,30000,15000,无需经验
软件开发工程师（Python）,珠海市鸿瑞信息技术股份有限公司,150-500人,本科,广东省,珠海,珠海高新区,7千-1万,10000,7000,1年及以上
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,广东省,珠海,香洲区,8千-1.3万,13000,8000,无需经验
python后端开发工程师,广东信源集团有限公司广州人力资源分公司,500-1000人,大专,广东省,广州,天河区,1.1-1.3万·13薪,13000,11000,3年及以上
Python开发工程师（高级）,江西思锐企业服务有限公司,少于50人,本科,江西省,南昌,青山湖区,6千-1.2万,12000,6000,3年及以上
Python开发工程师,上海柯林布瑞信息技术有限公司,150-500人,本科,上海,上海,徐汇区,2-3万,30000,20000,5-7年
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,湖北省,武汉,汉阳区,8千-1.3万,13000,8000,无需经验
